iter	TotalF1	MultiClass
0	0.5371698728	1.070736922
1	0.5451788392	1.04940542
2	0.5492080886	1.031044147
3	0.5564982647	1.014769125
4	0.5682714115	0.9986212293
5	0.5739621184	0.9851993917
6	0.5812187351	0.9713428954
7	0.5873206778	0.9608854495
8	0.5934501507	0.9499363522
9	0.6025672595	0.9386191836
10	0.6027657263	0.9303677384
11	0.6054957449	0.9229786692
12	0.611573996	0.9131729102
13	0.6131891073	0.906680197
14	0.6149716842	0.9006911607
15	0.6145830204	0.8952893062
16	0.6156536144	0.890917591
17	0.6186401784	0.8827736751
18	0.6227868653	0.875769238
19	0.6252457042	0.871589579
20	0.6286118303	0.8654725128
21	0.6315660664	0.8616341489
22	0.6331790222	0.856819134
23	0.6344164368	0.8531462947
24	0.6354457388	0.8494208656
25	0.63621853	0.8454056157
26	0.6369029611	0.8424540754
27	0.6378966066	0.8390122731
28	0.6393841684	0.8357793453
29	0.6409677032	0.8331711377
30	0.641368715	0.8305879465
31	0.6417882947	0.8284571671
32	0.6446952216	0.8209204098
33	0.6468412446	0.8145152731
34	0.6480495293	0.8115126209
35	0.6499987787	0.8078636581
36	0.6515459552	0.8050700959
37	0.6542566181	0.8020044037
38	0.6552471144	0.7999182213
39	0.6560020384	0.797500476
40	0.6582933364	0.7939065315
41	0.6598654814	0.7912364343
42	0.6607142341	0.7890889072
43	0.6614368313	0.7877889316
44	0.6620391044	0.7832577939
45	0.6630579858	0.781225291
46	0.6648149262	0.7785045475
47	0.6651383065	0.777011732
48	0.6658419791	0.7759379722
49	0.6662824273	0.7718257396
50	0.6669567176	0.7703404758
51	0.6680475876	0.768280773
52	0.6700070559	0.7656250914
53	0.6707687099	0.7641213035
54	0.6718649784	0.760986262
55	0.6734918583	0.7571092711
56	0.6739814997	0.7552750939
57	0.6745807738	0.7543558915
58	0.6758372029	0.751947904
59	0.6771134017	0.749502506
60	0.6775343904	0.7484037133
61	0.6790091392	0.7460469519
62	0.6791551623	0.7427838409
63	0.6797427387	0.7414233552
64	0.6798321665	0.7396746937
65	0.6820366347	0.7372222798
66	0.6818792468	0.735191913
67	0.6831221113	0.731291874
68	0.6841123781	0.7299397375
69	0.6850942546	0.7289442887
70	0.6862725254	0.7274297338
71	0.6878102946	0.7254656541
72	0.6888997753	0.7239314987
73	0.6891070073	0.7221701462
74	0.6897367521	0.7210875875
75	0.690195648	0.7197449921
76	0.6910569418	0.7185154774
77	0.6918830595	0.7177217869
78	0.6921741129	0.7169374099
79	0.6926162168	0.7157968492
80	0.6929950732	0.715020534
81	0.6928149265	0.7135750802
82	0.6934849297	0.7116386315
83	0.694604553	0.7100477305
84	0.6947096806	0.7079199391
85	0.6948190437	0.7070208293
86	0.6958092519	0.705657831
87	0.6971639863	0.7039912934
88	0.6977542107	0.7011539138
89	0.6987478723	0.69977889
90	0.7004060622	0.697896666
91	0.7006560328	0.6973140352
92	0.7007988737	0.69599372
93	0.7017179223	0.6948722026
94	0.7015541281	0.6929568634
95	0.702146576	0.6919697021
96	0.7033264919	0.6905347529
97	0.7038429283	0.6896525618
98	0.7035890111	0.6881721457
99	0.7040017235	0.6875364345
100	0.7055338858	0.6859620813
101	0.706059031	0.6839229757
102	0.7067834875	0.6826744049
103	0.7081453317	0.681105159
104	0.7089745901	0.679661577
105	0.70941345	0.6791400699
106	0.7101753834	0.6778817749
107	0.7109874151	0.6769970159
108	0.7112589102	0.6764127627
109	0.7114303331	0.6753130837
110	0.7124070481	0.6737848146
111	0.7129724102	0.6718668303
112	0.7137000727	0.6704978574
113	0.7142142067	0.6698505159
114	0.7146985662	0.668980651
115	0.7153222399	0.6678026071
116	0.7152910809	0.666124744
117	0.7152600927	0.6652326169
118	0.7161404162	0.6643782069
119	0.7167749144	0.6636256224
120	0.7180769567	0.6622135607
121	0.7181107154	0.6613066831
122	0.7186276987	0.6601270879
123	0.7188349852	0.6586602453
124	0.7194331739	0.6579470432
125	0.7194218947	0.6561888025
126	0.7191434072	0.6550125935
127	0.7193441699	0.6541673652
128	0.7202550354	0.6533416772
129	0.7204325665	0.6527659392
130	0.7207023019	0.6510031616
131	0.7213854953	0.6499342618
132	0.7221511466	0.6486852074
133	0.7233757339	0.6474135494
134	0.7233665269	0.645843917
135	0.7236341333	0.6449610845
136	0.7241395101	0.6440889255
137	0.72466079	0.6432490233
138	0.7252272256	0.6424304696
139	0.7253415923	0.6414624599
140	0.7254273705	0.6399364694
141	0.7256903011	0.6393667002
142	0.7258527168	0.6383893734
143	0.7267294049	0.6376635621
144	0.727424404	0.636244021
145	0.727635868	0.6352075774
146	0.7279391834	0.6343872705
147	0.7281311444	0.6338148865
148	0.7284867097	0.6329544279
149	0.7290321387	0.6322915056
150	0.7299359391	0.6313471612
151	0.7301107555	0.6304703664
152	0.7301526105	0.6298759567
153	0.7302811111	0.6292678625
154	0.7306447961	0.6287147739
155	0.7308011786	0.6283247988
156	0.730792657	0.627730358
157	0.730670602	0.6269227057
158	0.7307447238	0.6262814764
159	0.7310917045	0.6256960502
160	0.7320871575	0.624462291
161	0.7326182969	0.6236194938
162	0.7326907163	0.6231635882
163	0.7334014248	0.6222250254
164	0.7348331072	0.6209407011
165	0.7351039805	0.6201736999
166	0.7355781039	0.6195145987
167	0.7367447857	0.6179764551
168	0.7369032911	0.6172883712
169	0.7379871034	0.6162352703
170	0.7385259397	0.6152509531
171	0.7389914072	0.6145037619
172	0.738833213	0.6136113256
173	0.7388159675	0.6129233325
174	0.7387830594	0.6122882282
175	0.7388333705	0.6119043835
176	0.7392778723	0.6114778803
177	0.739392859	0.6111440014
178	0.7396274532	0.6106355675
179	0.740000288	0.6098795359
180	0.7408994875	0.6088959507
181	0.7417779264	0.607865943
182	0.7419661847	0.6072067375
183	0.7420825959	0.606821365
184	0.7425048135	0.6059882211
185	0.7429237421	0.6052567279
186	0.7430924587	0.604812481
187	0.7433656554	0.6041493557
188	0.7435645245	0.6036289991
189	0.7435776989	0.6030812428
190	0.7442270996	0.6022252405
191	0.7449210694	0.601252643
192	0.7455350097	0.6003158298
193	0.7458777861	0.5996013988
194	0.7463424986	0.5990499738
195	0.7464697929	0.5985245554
196	0.7468012594	0.5979346751
197	0.7472153912	0.5972528632
198	0.7476809744	0.5964661141
199	0.7479323445	0.5960174229
200	0.7485131559	0.5951720183
201	0.7499191796	0.5934866086
202	0.7506150558	0.5927530371
203	0.7510362967	0.5922681168
204	0.7510301898	0.5915047423
205	0.7520521567	0.5902454554
206	0.7520173347	0.5896251547
207	0.7521227785	0.5891587682
208	0.7520850213	0.5888390122
209	0.7525986651	0.5882045914
210	0.753166281	0.5873385045
211	0.7536335877	0.5866786014
212	0.7541207151	0.5861792878
213	0.7543744474	0.5858080214
214	0.7545140409	0.5854477908
215	0.754631274	0.5849187593
216	0.7545673545	0.5842321497
217	0.7553254666	0.5829495841
218	0.7556897448	0.5823494708
219	0.7559548677	0.581998271
220	0.7561146837	0.5816316118
221	0.7566292889	0.5808916061
222	0.7572091669	0.5799654207
223	0.7574757356	0.5794987956
224	0.7580513311	0.5787107521
225	0.7588967478	0.578000603
226	0.7597483393	0.5768187421
227	0.7600336369	0.5762570202
228	0.7605171107	0.5754501015
229	0.7611149806	0.5748340374
230	0.7616214335	0.573894614
231	0.761918312	0.573276124
232	0.7622013734	0.5726777708
233	0.762289313	0.5723245003
234	0.7631382951	0.5714592861
235	0.7631066313	0.5709483806
236	0.7632865658	0.5702634492
237	0.76403809	0.5692903803
238	0.7642667613	0.5687158812
239	0.7642744237	0.5681394609
240	0.7644463436	0.5677614441
241	0.764359367	0.5671605019
242	0.7645034671	0.5666802232
243	0.7650900699	0.5659817188
244	0.765167713	0.5656204474
245	0.7653915312	0.5653588693
246	0.7655672065	0.5646975367
247	0.7657008074	0.5643611844
248	0.7661647516	0.563575391
249	0.7666898802	0.5626674982
250	0.7670308513	0.5619301078
251	0.7672557604	0.5614467103
252	0.7674551715	0.5610500531
253	0.7678820213	0.5604786153
254	0.7681262088	0.5597767496
255	0.7689870102	0.558820532
256	0.7692628773	0.5584009233
257	0.7695423943	0.5579600169
258	0.7699707265	0.557326409
259	0.7701815793	0.5568979505
260	0.770576873	0.5563619848
261	0.7707892465	0.5559713085
262	0.7710966233	0.555301656
263	0.7713006671	0.5547989877
264	0.7719246013	0.554063588
265	0.772056156	0.5537977363
266	0.7721444316	0.5534488569
267	0.7722631582	0.5530060719
268	0.7726049191	0.5525764904
269	0.7729742	0.552047435
270	0.7732578358	0.5516074578
271	0.773470845	0.5512098646
272	0.7736438913	0.550973343
273	0.7735864186	0.5505640214
274	0.7743190262	0.5498189203
275	0.7745075459	0.5494032597
276	0.7747513671	0.5490033386
277	0.7749182458	0.5485763288
278	0.7754268175	0.5481525195
279	0.775877097	0.5473907942
280	0.7763622851	0.546580473
281	0.7766763208	0.5460368409
282	0.7769890814	0.5456812074
283	0.7772458529	0.545434548
284	0.7777712506	0.5446352334
285	0.7780560085	0.5441785239
286	0.7782807979	0.543674422
287	0.7784503305	0.5434148326
288	0.7788052509	0.5430091151
289	0.7788970669	0.5427214705
290	0.7789473104	0.5423669401
291	0.7793049942	0.5419173537
292	0.7799325415	0.5410414444
293	0.7803635124	0.5404559623
294	0.7811859942	0.5394362674
295	0.7814030785	0.5388912766
296	0.7818144719	0.5383239245
297	0.7819482241	0.5378247475
298	0.7819191975	0.5374766457
299	0.7822508876	0.5368438555
300	0.7825506473	0.5361534797
301	0.7827197465	0.5357621057
302	0.7830065206	0.5353644662
303	0.7833929722	0.53492643
304	0.78353934	0.5344196706
305	0.7841394911	0.5337515014
306	0.784447475	0.5334814603
307	0.7847324956	0.5329505163
308	0.7849692617	0.5324292335
309	0.7854396749	0.5315596352
310	0.7855883066	0.5309928201
311	0.7859065805	0.5305855093
312	0.7864553607	0.5300140321
313	0.7863671715	0.5296279846
314	0.7866700741	0.5291473322
315	0.7868318627	0.5287343888
316	0.7869158208	0.5283167659
317	0.7870968006	0.5278971731
318	0.7874542571	0.5274962101
319	0.7878410226	0.5267582397
320	0.7883827379	0.5261095929
321	0.7884995953	0.5256674602
322	0.7887728243	0.5252228045
323	0.7889912663	0.5248393853
324	0.7893365178	0.5242666897
325	0.7896169887	0.5236877802
326	0.7896960243	0.5234765151
327	0.7902105685	0.5229895167
328	0.790311861	0.5226237417
329	0.7905938636	0.5223459575
330	0.7911048027	0.5217196481
331	0.7912378321	0.5212543688
332	0.7917050417	0.5209326149
333	0.7917675844	0.5205750176
334	0.7921128883	0.5199348138
335	0.7924205722	0.5192792225
336	0.7925584318	0.518887499
337	0.7927449444	0.5184800622
338	0.7931001625	0.5178481446
339	0.7933943421	0.5173873389
340	0.7935835306	0.5169542598
341	0.7943928041	0.51600623
342	0.7947404478	0.5155738276
343	0.7948331414	0.515025859
344	0.7952644731	0.5144666855
345	0.7957242794	0.5136769849
346	0.7961069156	0.5131081947
347	0.7965567812	0.5124979162
348	0.7968965432	0.5120759109
349	0.7969274727	0.5117637859
350	0.7971136082	0.5113627587
351	0.7974215184	0.5109646313
352	0.7975211085	0.5105970641
353	0.7981169384	0.5098949617
354	0.7985155376	0.5093339616
355	0.7987451368	0.5089742708
356	0.7989329745	0.5086123405
357	0.7991661198	0.5079992747
358	0.7994301851	0.5077249229
359	0.7996331972	0.507073956
360	0.8000851068	0.5065802607
361	0.8002018369	0.5063163848
362	0.8003573185	0.505926756
363	0.8003134028	0.5056855677
364	0.8007427952	0.5052456892
365	0.8008954589	0.5050498226
366	0.8010185608	0.5046692779
367	0.8011902127	0.5044414678
368	0.801483324	0.5041572539
369	0.8016395186	0.5036511697
370	0.8016777053	0.5033548288
371	0.8019506543	0.503016225
372	0.8022725371	0.502531325
373	0.8026885685	0.501951939
374	0.803125688	0.5012829375
375	0.8035339593	0.5007020464
376	0.803849887	0.5001796647
377	0.804058981	0.4997283744
378	0.8043353891	0.4993527293
379	0.8045853636	0.4989705482
380	0.8045590364	0.498638334
381	0.8048817308	0.4980309101
382	0.8048951709	0.4977779108
383	0.8051919566	0.49747615
384	0.8053381611	0.4970742751
385	0.8056719269	0.496549813
386	0.8059487983	0.4960726355
