iter	Passed	Remaining
0	175	87339
1	349	86913
2	522	86630
3	711	88195
4	922	91280
5	1098	90410
6	1277	89949
7	1446	88988
8	1619	88371
9	1805	88445
10	1985	88246
11	2161	87901
12	2411	90343
13	2695	93578
14	2958	95657
15	3259	98597
16	3524	100147
17	3778	101185
18	4072	103091
19	4307	103389
20	4559	103989
21	4815	104636
22	5089	105559
23	5361	106340
24	5665	107648
25	5926	108047
26	6217	108920
27	6493	109457
28	6768	109925
29	7053	110504
30	7321	110765
31	7598	111132
32	7808	110498
33	7987	109481
34	8212	109107
35	8393	108179
36	8583	107404
37	8773	106663
38	8957	105884
39	9139	105099
40	9323	104376
41	9501	103606
42	9682	102900
43	9874	102336
44	10043	101550
45	10241	101083
46	10417	100405
47	10590	99729
48	10765	99087
49	11017	99155
50	11240	98960
51	11434	98512
52	11676	98475
53	11914	98405
54	12093	97851
55	12271	97298
56	12448	96749
57	12683	96654
58	12956	96843
59	13221	96955
60	13502	97176
61	13778	97338
62	14085	97701
63	14389	98028
64	14687	98292
65	14994	98598
66	15261	98628
67	15513	98556
68	15757	98425
69	16012	98359
70	16321	98619
71	16623	98815
72	16886	98773
73	17110	98500
74	17380	98489
75	17685	98664
76	17931	98507
77	18191	98418
78	18505	98617
79	18798	98689
80	19051	98549
81	19395	98870
82	19647	98712
83	20000	99050
84	20248	98862
85	20478	98584
86	20708	98305
87	20947	98074
88	21215	97972
89	21529	98081
90	21761	97806
91	22016	97637
92	22344	97789
93	22623	97715
94	22907	97659
95	23139	97377
96	23386	97162
97	23565	96666
98	23754	96216
99	23929	95716
100	24140	95366
101	24348	95006
102	24531	94554
103	24708	94081
104	24879	93596
105	25045	93094
106	25229	92664
107	25430	92303
108	25600	91834
109	25779	91400
110	25963	90990
111	26147	90582
112	26334	90188
113	26520	89797
114	26712	89429
115	26896	89035
116	27078	88640
117	27313	88421
118	27492	88020
119	27697	87707
120	27872	87303
121	28039	86878
122	28229	86523
123	28438	86233
124	28631	85894
125	28849	85632
126	29054	85332
127	29229	84948
128	29401	84558
129	29571	84164
130	29736	83762
131	29909	83385
132	30079	83000
133	30252	82630
134	30419	82245
135	30646	82025
136	30820	81662
137	30989	81290
138	31168	80947
139	31337	80582
140	31507	80220
141	31683	79877
142	31851	79516
143	32023	79169
144	32193	78818
145	32370	78486
146	32540	78142
147	32708	77792
148	32878	77452
149	33041	77096
150	33214	76767
151	33397	76463
152	33565	76125
153	33730	75784
154	33900	75455
155	34066	75121
156	34230	74784
157	34403	74468
158	34573	74147
159	34744	73832
160	34913	73514
161	35081	73194
162	35247	72874
163	35421	72570
164	35599	72277
165	35786	72003
166	35958	71702
167	36130	71399
168	36300	71097
169	36475	70804
170	36640	70495
171	36810	70196
172	36976	69892
173	37144	69592
174	37309	69289
175	37477	68991
176	37643	68694
177	37820	68416
178	37988	68124
179	38157	67836
180	38331	67555
181	38504	67276
182	38675	66995
183	38845	66712
184	39014	66429
185	39187	66155
186	39362	65884
187	39538	65617
188	39706	65337
189	39879	65066
190	40067	64821
191	40239	64550
192	40412	64282
193	40582	64012
194	40753	63742
195	40922	63472
196	41088	63197
197	41251	62919
198	41421	62652
199	41587	62381
200	41758	62117
201	41933	61862
202	42104	61601
203	42281	61349
204	42448	61083
205	42619	60825
206	42787	60564
207	42956	60304
208	43129	60051
209	43303	59799
210	43479	59552
211	43648	59296
212	43819	59043
213	43991	58792
214	44164	58543
215	44339	58298
216	44514	58053
217	44688	57808
218	44861	57561
219	45030	57311
220	45200	57063
221	45377	56823
222	45558	56590
223	45740	56359
224	45919	56124
225	46096	55886
226	46268	55644
227	46444	55406
228	46630	55182
229	46810	54951
230	46991	54721
231	47172	54491
232	47342	54251
233	47519	54018
234	47708	53799
235	47899	53582
236	48090	53366
237	48282	53150
238	48471	52932
239	48659	52714
240	48858	52508
241	49046	52289
242	49235	52072
243	49424	51855
244	49613	51638
245	49800	51420
246	49995	51209
247	50184	50993
248	50382	50787
249	50577	50577
250	50768	50363
251	50965	50156
252	51167	49954
253	51362	49744
254	51558	49536
255	51755	49329
256	51947	49117
257	52140	48907
258	52332	48695
259	52515	48476
260	52705	48263
261	52898	48052
262	53093	47844
263	53286	47634
264	53480	47425
265	53667	47211
266	53862	47003
267	54056	46795
268	54251	46587
269	54440	46375
270	54638	46170
271	54836	45965
272	55030	45758
273	55220	45546
274	55419	45342
275	55626	45146
276	55818	44936
277	56028	44742
278	56221	44533
279	56414	44325
280	56606	44116
281	56799	43908
282	56986	43696
283	57178	43488
284	57372	43281
285	57566	43074
286	57766	42871
287	57964	42668
288	58160	42463
289	58348	42252
290	58545	42048
291	58738	41841
292	58944	41643
293	59141	41439
294	59336	41233
295	59533	41029
296	59725	40822
297	59925	40620
